Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=397A29BB2F1436B9AB6FAEE7A6C2F6BB?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=03-10-2014&end=10-10-2019&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US and BG,CZ,HU,PL,RO,CN and HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2015-11-18,90.2190
2015-11-17,90.2055
2015-11-16,90.5055
2015-11-13,90.6988
2015-11-12,90.4494
2015-11-11,90.3651
2015-11-10,90.4117
2015-11-09,90.9191
2015-11-06,91.2165
2015-11-05,91.1580
2015-11-04,91.2258
2015-11-03,91.5367
2015-11-02,91.7905
2015-10-30,91.7956
2015-10-29,91.4971
2015-10-28,92.3317
2015-10-27,92.1671
2015-10-26,91.7764
2015-10-23,92.0443
2015-10-22,93.4252
2015-10-21,93.6194
2015-10-20,93.5743
2015-10-19,93.3209
2015-10-16,93.4422
2015-10-15,93.7721
2015-10-14,93.8763
2015-10-13,93.8328
2015-10-12,93.5875
2015-10-09,93.6147
2015-10-08,93.2179
2015-10-07,93.2208
2015-10-06,93.2850
2015-10-05,93.3153
2015-10-02,93.0015
2015-10-01,92.9569
2015-09-30,93.2997
2015-09-29,93.3713
2015-09-28,93.1975
2015-09-25,93.0755
