Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,4.600000,4.600000,4.000000,4.200000,4.200000,7520
2016-12-01,4.400000,4.400000,4.200000,4.300000,4.300000,7500
2016-12-02,4.100000,4.500000,4.100000,4.300000,4.300000,8280
2016-12-05,4.200000,4.200000,4.100000,4.100000,4.100000,14830
2016-12-06,4.100000,4.400000,4.100000,4.200000,4.200000,12520
2016-12-07,4.200000,4.400000,4.100000,4.300000,4.300000,5850
2016-12-08,4.200000,4.300000,4.100000,4.100000,4.100000,16230
2016-12-09,4.100000,4.300000,4.000000,4.200000,4.200000,13890
2016-12-12,4.100000,4.300000,4.000000,4.200000,4.200000,7740
2016-12-13,4.100000,4.300000,3.900000,4.100000,4.100000,8940
2016-12-14,4.100000,4.200000,3.900000,3.900000,3.900000,8760
2016-12-15,3.900000,4.100000,3.900000,3.900000,3.900000,7540
2016-12-16,3.900000,4.100000,3.900000,4.100000,4.100000,6700
2016-12-19,4.000000,4.200000,3.900000,3.900000,3.900000,9930
2016-12-20,4.000000,4.000000,3.600000,4.000000,4.000000,15890
2016-12-21,3.900000,4.000000,3.700000,3.700000,3.700000,7990
2016-12-22,3.800000,3.900000,3.700000,3.900000,3.900000,9280
2016-12-23,3.900000,4.100000,3.800000,4.100000,4.100000,15040
2016-12-27,4.100000,4.300000,3.700000,3.700000,3.700000,45240
2016-12-28,3.600000,3.800000,3.300000,3.500000,3.500000,41350
2016-12-29,3.500000,3.700000,3.400000,3.700000,3.700000,37750
2016-12-30,3.700000,4.000000,3.400000,4.000000,4.000000,32940
2017-01-03,4.000000,4.200000,3.700000,3.700000,3.700000,15240
2017-01-04,3.800000,4.500000,3.800000,4.300000,4.300000,24340
2017-01-05,4.300000,4.600000,4.200000,4.500000,4.500000,16330
2017-01-06,4.500000,4.500000,3.900000,4.100000,4.100000,20200
2017-01-09,4.200000,4.200000,3.800000,3.900000,3.900000,7520
2017-01-10,4.000000,4.100000,3.800000,4.000000,4.000000,6550
2017-01-11,4.000000,4.200000,3.900000,4.000000,4.000000,8400
2017-01-12,4.000000,4.100000,3.800000,4.000000,4.000000,10560
2017-01-13,4.000000,4.000000,3.800000,4.000000,4.000000,4790
2017-01-17,3.900000,4.100000,3.800000,3.800000,3.800000,9240
2017-01-18,3.900000,3.900000,3.800000,3.900000,3.900000,6190
2017-01-19,3.900000,4.000000,3.800000,3.900000,3.900000,1450
2017-01-20,3.800000,4.000000,3.800000,4.000000,4.000000,6120
2017-01-23,3.900000,3.900000,3.800000,3.900000,3.900000,1990
2017-01-24,3.900000,3.900000,3.800000,3.800000,3.800000,5090
2017-01-25,3.800000,4.000000,3.800000,4.000000,4.000000,8140
2017-01-26,4.100000,4.100000,4.000000,4.000000,4.000000,3180
2017-01-27,4.100000,4.100000,3.800000,4.000000,4.000000,5300
2017-01-30,3.900000,4.000000,3.800000,3.900000,3.900000,1450
2017-01-31,4.000000,4.000000,3.800000,4.000000,4.000000,5490
2017-02-01,3.800000,4.000000,3.800000,4.000000,4.000000,4940
2017-02-02,3.800000,4.200000,3.800000,4.200000,4.200000,11620
2017-02-03,4.200000,4.200000,4.000000,4.100000,4.100000,3120
2017-02-06,4.100000,4.200000,4.000000,4.000000,4.000000,4240
2017-02-07,4.100000,4.200000,4.000000,4.200000,4.200000,5060
2017-02-08,4.200000,4.200000,4.100000,4.200000,4.200000,6280
2017-02-09,4.000000,4.200000,3.800000,4.100000,4.100000,2660
2017-02-10,4.200000,4.200000,4.000000,4.100000,4.100000,4580
2017-02-13,4.000000,4.200000,4.000000,4.000000,4.000000,5300
2017-02-14,4.100000,4.200000,4.000000,4.000000,4.000000,4960
2017-02-15,4.000000,4.100000,3.900000,3.900000,3.900000,9660
2017-02-16,3.900000,4.000000,3.900000,3.900000,3.900000,4080
2017-02-17,4.000000,4.000000,3.800000,4.000000,4.000000,13990
2017-02-21,3.800000,4.000000,3.800000,3.900000,3.900000,12480
2017-02-22,3.800000,3.900000,3.800000,3.900000,3.900000,5900
2017-02-23,4.000000,4.000000,3.800000,3.900000,3.900000,15170
2017-02-24,3.900000,4.000000,3.800000,4.000000,4.000000,8080
2017-02-27,4.000000,4.000000,3.800000,4.000000,4.000000,6250
2017-02-28,3.900000,4.200000,3.800000,4.000000,4.000000,26610
2017-03-01,3.900000,4.100000,3.900000,4.000000,4.000000,4640
2017-03-02,4.000000,4.100000,3.900000,4.100000,4.100000,7720
2017-03-03,4.000000,4.200000,4.000000,4.100000,4.100000,5570
2017-03-06,4.100000,4.200000,4.100000,4.200000,4.200000,10100
2017-03-07,4.200000,5.100000,4.100000,4.900000,4.900000,135110
2017-03-08,4.900000,5.000000,4.600000,4.800000,4.800000,12580
2017-03-09,4.700000,5.400000,4.700000,5.200000,5.200000,38620
2017-03-10,5.300000,5.600000,5.100000,5.200000,5.200000,42010
2017-03-13,5.300000,5.400000,4.900000,5.000000,5.000000,26630
2017-03-14,4.900000,5.000000,4.500000,4.800000,4.800000,11100
2017-03-15,4.700000,5.000000,4.700000,4.700000,4.700000,3610
2017-03-16,4.900000,4.900000,3.900000,4.100000,4.100000,18020
2017-03-17,4.200000,4.500000,4.200000,4.500000,4.500000,7250
2017-03-20,4.400000,4.500000,4.300000,4.500000,4.500000,5010
2017-03-21,4.400000,4.600000,4.000000,4.000000,4.000000,4750
2017-03-22,4.300000,4.300000,4.200000,4.200000,4.200000,6010
2017-03-23,3.900000,4.300000,3.900000,4.100000,4.100000,7100
2017-03-24,4.200000,4.300000,4.100000,4.200000,4.200000,4760
2017-03-27,4.500000,4.600000,4.200000,4.400000,4.400000,6640
2017-03-28,4.200000,4.300000,4.000000,4.200000,4.200000,6340
2017-03-29,4.200000,4.400000,4.100000,4.400000,4.400000,1080
2017-03-30,4.300000,4.500000,4.200000,4.400000,4.400000,5400
2017-03-31,4.500000,4.500000,4.200000,4.300000,4.300000,3790
2017-04-03,4.300000,4.500000,4.200000,4.500000,4.500000,2290
2017-04-04,4.500000,4.700000,4.400000,4.400000,4.400000,7880
2017-04-05,4.400000,4.600000,4.100000,4.100000,4.100000,8940
2017-04-06,4.100000,4.300000,4.100000,4.200000,4.200000,5200
2017-04-07,4.200000,4.400000,4.100000,4.100000,4.100000,8290
2017-04-10,4.300000,4.300000,4.100000,4.200000,4.200000,4020
2017-04-11,4.200000,4.300000,4.100000,4.100000,4.100000,5590
2017-04-12,4.300000,4.300000,4.100000,4.200000,4.200000,1950
2017-04-13,4.200000,4.200000,4.100000,4.200000,4.200000,1530
2017-04-17,4.100000,4.200000,4.100000,4.200000,4.200000,5140
2017-04-18,4.200000,4.300000,4.100000,4.100000,4.100000,8080
2017-04-19,4.200000,4.300000,4.000000,4.000000,4.000000,9230
2017-04-20,4.200000,4.200000,4.000000,4.100000,4.100000,1750
2017-04-21,4.200000,4.200000,4.000000,4.000000,4.000000,2650
