,Date,Open,High,Low,Close,Adj Close,Volume
778,2019-04-17,0.82,0.82,0.78,0.79,0.79,2800
779,2019-04-18,0.8,0.83,0.75,0.83,0.83,30900
780,2019-04-22,0.81,0.85,0.79,0.84,0.84,64800
781,2019-04-23,0.83,0.85,0.8,0.83,0.83,23900
782,2019-04-24,0.81,0.86,0.81,0.85,0.85,13300
783,2019-04-25,0.84,0.87,0.75,0.82,0.82,100000
784,2019-04-26,0.81,0.83,0.79,0.81,0.81,69100
785,2019-04-29,0.8,0.83,0.8,0.83,0.83,13400
786,2019-04-30,0.82,0.85,0.8,0.83,0.83,17100
787,2019-05-01,0.83,0.9,0.83,0.85,0.85,76700
788,2019-05-02,0.85,0.9,0.8,0.85,0.85,41300
789,2019-05-03,0.83,0.93,0.82,0.9,0.9,315800
790,2019-05-06,0.86,0.91,0.86,0.9,0.9,54700
791,2019-05-07,0.9,0.91,0.86,0.91,0.91,88000
792,2019-05-08,0.88,0.91,0.86,0.91,0.91,20700
793,2019-05-09,0.87,0.91,0.82,0.82,0.82,31800
794,2019-05-10,0.83,0.88,0.83,0.88,0.88,39500
795,2019-05-13,0.84,0.86,0.75,0.82,0.82,188400
796,2019-05-14,0.82,0.83,0.79,0.82,0.82,27900
797,2019-05-15,0.84,0.84,0.78,0.8,0.8,18800
798,2019-05-16,0.78,0.82,0.76,0.82,0.82,33900
799,2019-05-17,0.76,0.82,0.75,0.8,0.8,11400
800,2019-05-20,0.76,0.81,0.76,0.8,0.8,21400
801,2019-05-21,0.78,0.8,0.75,0.8,0.8,30300
802,2019-05-22,0.78,0.79,0.75,0.77,0.77,15900
803,2019-05-23,0.77,0.77,0.74,0.77,0.77,27800
804,2019-05-24,0.75,0.81,0.75,0.81,0.81,19700
805,2019-05-28,0.81,0.81,0.75,0.8,0.8,64700
806,2019-05-29,0.79,0.8,0.77,0.8,0.8,36200
807,2019-05-30,0.78,0.8,0.75,0.8,0.8,22700
808,2019-05-31,0.77,0.8,0.77,0.79,0.79,26200
809,2019-06-03,0.8,0.8,0.75,0.79,0.79,12100
810,2019-06-04,0.76,0.77,0.57,0.74,0.74,48900
811,2019-06-05,0.74,0.79,0.72,0.78,0.78,33500
812,2019-06-06,0.81,0.81,0.7,0.71,0.71,61800
813,2019-06-07,0.71,0.8,0.71,0.78,0.78,34400
814,2019-06-10,0.79,0.8,0.72,0.78,0.78,10300
815,2019-06-11,0.72,0.8,0.72,0.78,0.78,10700
816,2019-06-12,0.79,0.8,0.74,0.76,0.76,52600
817,2019-06-13,0.77,0.81,0.75,0.81,0.81,13300
818,2019-06-14,0.81,0.84,0.8,0.84,0.84,34500
819,2019-06-17,0.85,0.88,0.81,0.83,0.83,14200
820,2019-06-18,0.81,0.84,0.81,0.81,0.81,17400
821,2019-06-19,0.82,0.85,0.8,0.82,0.82,29600
822,2019-06-20,0.82,0.87,0.75,0.81,0.81,30800
823,2019-06-21,0.82,0.85,0.72,0.77,0.77,12600
824,2019-06-24,0.72,0.78,0.7,0.74,0.74,83600
825,2019-06-25,0.75,0.75,0.7,0.72,0.72,21700
826,2019-06-26,0.72,0.75,0.7,0.73,0.73,59600
827,2019-06-27,0.73,0.73,0.7,0.73,0.73,33600
828,2019-06-28,0.74,0.74,0.7,0.71,0.71,31200
829,2019-07-01,0.7,0.73,0.69,0.7,0.7,65500
830,2019-07-02,0.7,0.71,0.68,0.71,0.71,37900
832,2019-07-05,0.68,0.7,0.68,0.69,0.69,51900
833,2019-07-08,0.68,0.7,0.68,0.69,0.69,74700
834,2019-07-09,0.71,0.73,0.68,0.71,0.71,57600
835,2019-07-10,0.71,0.72,0.68,0.69,0.69,79100
836,2019-07-11,0.68,0.73,0.68,0.72,0.72,44600
837,2019-07-12,0.74,0.75,0.7,0.71,0.71,62800
838,2019-07-15,0.71,0.73,0.68,0.68,0.68,38900
839,2019-07-16,0.71,0.72,0.7,0.72,0.72,14300
840,2019-07-17,0.72,0.73,0.72,0.72,0.72,11500
841,2019-07-18,0.72,0.73,0.7,0.71,0.71,10600
842,2019-07-19,0.7,0.73,0.7,0.72,0.72,12000
843,2019-07-22,0.72,0.72,0.69,0.72,0.72,33800
844,2019-07-23,0.73,0.73,0.69,0.71,0.71,39100
845,2019-07-24,0.71,0.72,0.68,0.69,0.69,30200
846,2019-07-25,0.7,0.73,0.68,0.72,0.72,9700
847,2019-07-26,0.71,0.72,0.68,0.71,0.71,12800
848,2019-07-29,0.72,0.72,0.67,0.69,0.69,77400
849,2019-07-30,0.69,0.71,0.67,0.69,0.69,39400
850,2019-07-31,0.69,0.69,0.66,0.67,0.67,19400
851,2019-08-01,0.7,0.7,0.66,0.68,0.68,19500
852,2019-08-02,0.71,0.71,0.64,0.7,0.7,24500
853,2019-08-05,0.68,0.71,0.65,0.7,0.7,12100
854,2019-08-06,0.71,0.71,0.67,0.71,0.71,1000
855,2019-08-07,0.69,0.7,0.65,0.69,0.69,43900
856,2019-08-08,0.67,0.7,0.66,0.68,0.68,5400
857,2019-08-09,0.69,0.7,0.69,0.7,0.7,12900
858,2019-08-12,0.69,0.7,0.65,0.67,0.67,34300
859,2019-08-13,0.67,0.67,0.61,0.67,0.67,27100
860,2019-08-14,0.65,0.67,0.65,0.67,0.67,22900
861,2019-08-15,0.67,0.71,0.62,0.63,0.63,22700
862,2019-08-16,0.66,0.71,0.65,0.7,0.7,14300
863,2019-08-19,0.7,0.7,0.66,0.7,0.7,6800
864,2019-08-20,1.14,1.4,0.83,0.89,0.89,34483000
865,2019-08-21,0.99,1.02,0.71,0.82,0.82,6413000
866,2019-08-22,0.74,0.82,0.74,0.8,0.8,2092000
867,2019-08-23,0.75,0.78,0.72,0.74,0.74,1090500
868,2019-08-26,0.75,0.76,0.68,0.69,0.69,1029900
869,2019-08-27,0.83,0.88,0.72,0.75,0.75,4587100
870,2019-08-28,0.72,0.73,0.7,0.71,0.71,793200
871,2019-08-29,0.65,0.7,0.62,0.68,0.68,1141700
872,2019-08-30,0.67,0.67,0.62,0.63,0.63,615400
873,2019-09-03,0.62,0.66,0.6,0.62,0.62,431900
874,2019-09-04,0.62,0.65,0.6,0.64,0.64,369500
875,2019-09-05,0.62,0.64,0.58,0.61,0.61,470400
876,2019-09-06,0.6,0.63,0.58,0.62,0.62,350400
877,2019-09-09,0.62,0.68,0.62,0.62,0.62,465400
878,2019-09-10,0.66,0.67,0.63,0.63,0.63,253200
879,2019-09-11,0.64,0.66,0.63,0.64,0.64,181000
880,2019-09-12,0.64,0.66,0.62,0.64,0.64,185200
881,2019-09-13,0.64,0.65,0.62,0.63,0.63,100300
882,2019-09-16,0.64,0.64,0.61,0.63,0.63,211300
883,2019-09-17,0.63,0.63,0.6,0.62,0.62,363100
884,2019-09-18,0.66,0.66,0.59,0.6,0.6,1398900
885,2019-09-19,0.61,0.63,0.6,0.61,0.61,167900
886,2019-09-20,0.61,0.62,0.6,0.6,0.6,188700
887,2019-09-23,0.6,0.63,0.57,0.57,0.57,230000
888,2019-09-24,0.6,0.61,0.54,0.55,0.55,346100
889,2019-09-25,0.55,0.59,0.54,0.55,0.55,289600
890,2019-09-26,0.55,0.57,0.54,0.56,0.56,206100
891,2019-09-27,0.58,0.58,0.53,0.54,0.54,99600
892,2019-09-30,0.56,0.58,0.54,0.54,0.54,111900
893,2019-10-01,0.54,0.56,0.51,0.54,0.54,144900
894,2019-10-02,0.52,0.56,0.5,0.52,0.52,111500
895,2019-10-03,0.52,0.55,0.52,0.53,0.53,85700
896,2019-10-04,0.53,0.55,0.5,0.52,0.52,126500
897,2019-10-07,0.51,0.57,0.51,0.54,0.54,113100
898,2019-10-08,0.57,0.57,0.52,0.52,0.52,87100
899,2019-10-09,0.52,0.53,0.45,0.47,0.47,233100
900,2019-10-10,0.5,0.51,0.45,0.46,0.46,224900
901,2019-10-11,0.48,0.5,0.43,0.45,0.45,228000
902,2019-10-14,0.45,0.47,0.42,0.43,0.43,261400
903,2019-10-15,0.39,0.46,0.37,0.38,0.38,740000
904,2019-10-16,0.38,0.42,0.37,0.42,0.42,428100
905,2019-10-17,0.42,0.5,0.42,0.5,0.5,539100
906,2019-10-18,0.5,0.56,0.47,0.52,0.52,364400
907,2019-10-21,0.52,0.55,0.47,0.5,0.5,184500
908,2019-10-22,0.51,0.58,0.49,0.58,0.58,493800
909,2019-10-23,0.53,0.53,0.46,0.47,0.47,326200
910,2019-10-24,0.39,0.44,0.34,0.37,0.37,2816700
911,2019-10-25,0.23,0.28,0.2,0.21,0.21,8040100
912,2019-10-28,0.21,0.21,0.18,0.19,0.19,2076700
913,2019-10-29,0.2,0.2,0.17,0.17,0.17,1988900
914,2019-10-30,0.18,0.18,0.15,0.16,0.16,1303300
915,2019-10-31,0.17,0.18,0.16,0.16,0.16,1051000
916,2019-11-01,0.17,0.17,0.16,0.17,0.17,871600
917,2019-11-04,0.19,0.19,0.16,0.17,0.17,738500
918,2019-11-05,0.18,0.18,0.17,0.17,0.17,1064800
919,2019-11-06,0.17,0.18,0.17,0.17,0.17,684500
920,2019-11-07,0.17,0.17,0.16,0.16,0.16,611100
